epoch,loss,r2,val_loss,val_r2
1.0,0.12545703351497653,0.0819397866725921,0.07905975729227065,0.4338316917419433
2.0,0.03870299085974694,0.71928471326828,0.015817636623978608,0.8871615529060364
3.0,0.0113914106041193,0.916836142539978,0.009033563546836376,0.9356425404548644
4.0,0.00758827337995171,0.9446030855178832,0.006799817085266109,0.951399028301239
5.0,0.006143601145595313,0.9550557136535645,0.005825322121381761,0.9583738446235656
6.0,0.0054188640788197535,0.9603866338729858,0.005241467151790859,0.9625388383865356
7.0,0.004947324749082325,0.9637988805770874,0.004852941259741787,0.9652590751647948
8.0,0.00462764268741011,0.9661296606063844,0.004530068952590225,0.9675305485725404
9.0,0.004348927643150089,0.9681318998336792,0.004285876639187337,0.9692543745040894
10.0,0.004132816568017006,0.9697567224502563,0.00414642505347729,0.9701849818229676
11.0,0.003940633498132234,0.9711149334907532,0.0039021798875182867,0.9720698595046996
12.0,0.003743925364688038,0.972506821155548,0.00373361655510962,0.9732089042663574
13.0,0.0035834698937833305,0.9737318754196168,0.0035607859026640662,0.9744950532913208
14.0,0.0034253085032105437,0.974894881248474,0.0034492837730795154,0.9752832651138306
15.0,0.003285417333245278,0.9759365916252136,0.0032850184943527,0.9765644073486328
16.0,0.0031287954188883296,0.9771357774734496,0.0031161620281636715,0.9777480363845824
17.0,0.002997712465003133,0.9780772924423218,0.002997720614075662,0.9786011576652528
18.0,0.002881183987483384,0.9788859486579896,0.002877360675483941,0.9794541597366332
19.0,0.0027512235101312408,0.9798701405525208,0.0027201641350984586,0.9805343747138976
20.0,0.0026333907153457364,0.9807222485542296,0.002594050485640765,0.9814224243164062
21.0,0.0025060134939849385,0.9816573858261108,0.0024699480272829533,0.9823325872421264
22.0,0.0023998690303415073,0.9824246168136596,0.0023798542097210875,0.982986569404602
23.0,0.002298063132911921,0.9831690788269044,0.0023210947401821605,0.9834126234054564
24.0,0.0021904767490923387,0.983953595161438,0.002210703911259768,0.9841556549072266
25.0,0.002131428569555282,0.9843883514404296,0.0021471662912517773,0.9846218824386596
26.0,0.0020494596101343636,0.985016942024231,0.002030705800279975,0.9854384660720824
27.0,0.0019775589462369676,0.9855270385742188,0.001984871923923494,0.9858280420303344
28.0,0.001957745291292667,0.9856783151626588,0.001983708702027799,0.98582524061203
29.0,0.0018926609773188847,0.9861665964126588,0.0018941360758617514,0.986449897289276
30.0,0.0018366507720202205,0.986549973487854,0.0018442760920152068,0.9868102073669434
31.0,0.0017836452461779115,0.9869281053543092,0.0018041841685771931,0.9870911836624146
32.0,0.001755152596160769,0.9871575236320496,0.0017619356513023368,0.987425982952118
33.0,0.0017278350424021498,0.9873713254928588,0.0017584977904334669,0.9873967170715332
34.0,0.001691518002189696,0.9876120686531068,0.0016910252161324016,0.9879133105278016
35.0,0.0016476314049214114,0.987919807434082,0.0016629316378384824,0.9881033897399902
36.0,0.001637314213439819,0.9880189895629884,0.001625524484552443,0.988347053527832
37.0,0.0016036508604884156,0.9882627725601196,0.0016067287651821982,0.9885138273239136
38.0,0.0015641610370948915,0.9885596036911012,0.0015775344800204043,0.988718330860138
39.0,0.001552194473333658,0.988642692565918,0.001557631534524262,0.9888690710067748
40.0,0.001520281890407204,0.9888738393783568,0.0015370952896773809,0.989000916481018
41.0,0.0015125257195904844,0.9889415502548218,0.0015261152293533091,0.9890726804733276
42.0,0.001476624165661634,0.989183247089386,0.001491414848715066,0.9893512725830078
43.0,0.0014617305714637037,0.9893149137496948,0.0014563595177605757,0.9895899891853333
44.0,0.0014363661175593725,0.9894794225692748,0.0014552528737112884,0.9895533323287964
45.0,0.0014256132999435063,0.9895552396774292,0.0014525013975799075,0.9895968437194824
46.0,0.0014072288759052736,0.9897071719169616,0.0014058365486562256,0.9899260401725768
47.0,0.0013932324945926662,0.989788830280304,0.0014099666150286785,0.9898932576179504
48.0,0.0013958453200757477,0.9897814989089966,0.0014040537644177693,0.9899380803108216
49.0,0.0014023935655131938,0.9897300004959106,0.0013873751740902667,0.990079402923584
50.0,0.0013604478444904082,0.990044116973877,0.0014199373545125118,0.9898287057876588
51.0,0.0013478796463459721,0.9901167750358582,0.0013427219819277527,0.9903818964958192
52.0,0.0013314196839928618,0.9902420043945312,0.0013656542869284747,0.9902164340019226
53.0,0.001328481012023985,0.9902756810188292,0.0013343357713893056,0.9904295206069946
54.0,0.0013187867589294917,0.9903386831283568,0.0013480969937518248,0.9903753399848938
55.0,0.0013001454062759878,0.990472137928009,0.0013094567693769932,0.9906178712844848
56.0,0.0012956728460267177,0.9905231595039368,0.0013131547020748258,0.9905864000320436
57.0,0.001297037932090462,0.9904952049255372,0.0013650468317791815,0.9902016520500184
58.0,0.0012767299776896834,0.9906269311904908,0.0012876264518126852,0.9907791018486024
59.0,0.0012819267576560378,0.9906107783317566,0.0012944221962243301,0.9907247424125672
60.0,0.001267297426238657,0.9907170534133912,0.0012812584172934298,0.9908126592636108
61.0,0.00125330057926476,0.9908199310302734,0.0012681836960837245,0.9909180402755736
62.0,0.0012494705151766558,0.990834414958954,0.001332062529399992,0.9904547929763794
63.0,0.0012442178558558217,0.9908811450004578,0.001244626473635436,0.9910780787467957
64.0,0.001235499978065491,0.9909555315971376,0.001242691534571349,0.9910985231399536
65.0,0.0012409709161147477,0.9909123182296752,0.0012457991251721985,0.9910558462142944
66.0,0.001231378992088139,0.9909831285476683,0.001247828360646964,0.9910605549812316
67.0,0.0012190837878733873,0.9910746812820436,0.0012763454578816902,0.990863800048828
68.0,0.0012204060330986968,0.9910506010055542,0.0012238897616043687,0.9912291765213012
