epoch,loss,r2,val_loss,val_r2
1.0,0.1503335237503052,-4.714594841003418,0.09339979290962219,-2.0954744815826416
2.0,0.05246041715145111,-0.8602473735809326,0.010352282784879211,0.6587764024734497
3.0,0.012648548930883406,0.5554451942443848,0.010575476102530951,0.6530647277832031
4.0,0.010586113668978213,0.6327033042907715,0.01028747204691172,0.6606422662734985
5.0,0.010279556736350058,0.6434077620506287,0.010086311027407646,0.6651598811149597
6.0,0.010423259809613224,0.6348996162414551,0.010164902545511728,0.6572844386100769
7.0,0.010335488244891161,0.6393848657608032,0.009683805517852313,0.6758320331573486
8.0,0.009611573070287698,0.6669453382492065,0.008908336982131,0.7029076814651489
9.0,0.008285089395940299,0.7145171165466309,0.007254283409565691,0.7624143958091736
10.0,0.005403180606663229,0.8120435476303101,0.0031288065947592254,0.8970057964324951
11.0,0.0019873506389558307,0.9307273030281068,0.0015169545076787467,0.9503228068351746
12.0,0.0012341233668848861,0.958489179611206,0.001102590467780828,0.9637828469276428
13.0,0.0009828573092818247,0.9660376906394958,0.0009726397693157197,0.968140184879303
14.0,0.0008988079498521984,0.968855619430542,0.0009231427102349703,0.9697559475898744
15.0,0.0008567296899855141,0.9703216552734376,0.0008937033126130701,0.9707276225090028
16.0,0.0008320807828567917,0.9710943698883056,0.0008695899741724141,0.971522569656372
17.0,0.0008098871912807228,0.971827268600464,0.0008497495437040923,0.9721763134002686
18.0,0.0007926925318315624,0.9724164009094238,0.0008318196050822724,0.97276508808136
19.0,0.0007760541047900914,0.97304105758667,0.0008148975903168322,0.9733253717422484
20.0,0.0007614435744471844,0.9735564589500428,0.0007981514791026713,0.9738746881484984
21.0,0.0007456147577613582,0.9740504026412964,0.0007821994950063529,0.97439843416214
22.0,0.000730624189600348,0.974598228931427,0.0007665447774343195,0.974910855293274
23.0,0.00071594020118937,0.9750863313674928,0.0007505203830078236,0.9754353165626526
24.0,0.0007012494024820619,0.9756038188934326,0.0007344454061239957,0.975961208343506
25.0,0.000686302257236093,0.976126194000244,0.0007184131536632778,0.9764850735664368
26.0,0.0006711503374390312,0.9766784906387328,0.000701575365383178,0.9770361185073853
27.0,0.0006555194268003097,0.9772199392318726,0.0006846949690952897,0.9775885343551636
28.0,0.0006395854870788751,0.9777565598487854,0.0006659837672486899,0.9782035946846008
29.0,0.0006224489188753073,0.9783523678779602,0.0006480804295279082,0.9787909984588624
30.0,0.0006059205625206231,0.9789125323295592,0.0006294530467130243,0.97940331697464
31.0,0.000587742717470974,0.9795757532119752,0.0006102909683249892,0.980029821395874
32.0,0.0005695560830645265,0.9802259802818298,0.0005905944271944465,0.980674147605896
33.0,0.0005526082240976392,0.9807511568069458,0.0005707368836738172,0.9813249111175536
34.0,0.0005340532516129315,0.981434404850006,0.0005508632748387756,0.9819757342338562
35.0,0.0005151862860657274,0.9821203351020812,0.0005326601676642897,0.9825626611709596
36.0,0.0004975756164640185,0.9826783537864684,0.000512691447511315,0.9832215905189514
37.0,0.00048033377970568836,0.983300507068634,0.0004938069614581762,0.9838346242904664
38.0,0.00046376569662243155,0.9838578701019288,0.0004752242821268738,0.9844350814819336
39.0,0.0004484961682464928,0.9844500422477722,0.0004589143500197676,0.9849678874015808
40.0,0.0004328156646806748,0.9850237369537354,0.00044387302477844065,0.9854570031166076
41.0,0.0004197655362077058,0.9853929877281188,0.00042852238402701914,0.9859495759010316
42.0,0.0004083933599758895,0.985782504081726,0.0004163309931755065,0.9863427877426147
43.0,0.00039677333552390337,0.9862634539604188,0.0004043582885060458,0.9867300391197203
44.0,0.00038704852340742946,0.9865940809249878,0.0003940063761547208,0.9870617389678956
45.0,0.0003785205772146583,0.9868361949920654,0.00038698286516591907,0.9872921109199524
46.0,0.0003708237491082403,0.9871074557304382,0.0003778146929107608,0.9875856041908264
47.0,0.00036471194471232615,0.9872878789901732,0.00037143076770007605,0.9877856969833374
48.0,0.0003584299993235617,0.9876831769943236,0.00036391132744029175,0.988033413887024
49.0,0.0003528741362970325,0.987735629081726,0.0003587317478377371,0.9881919622421264
50.0,0.00034784249146468916,0.9879433512687684,0.00035478861536830653,0.988315999507904
51.0,0.00034370488720014697,0.9880626797676086,0.00034810585202649225,0.9885373115539552
52.0,0.00033955261460505415,0.9881734251976012,0.00034324050648137916,0.9886966943740844
53.0,0.0003351535415276888,0.9883436560630798,0.00033988023642450576,0.9888039231300354
54.0,0.0003313604684080928,0.988486111164093,0.00033572968095541006,0.9889343976974488
55.0,0.00033025638549588637,0.988560676574707,0.0003356531960889694,0.988942325115204
56.0,0.0003268261498305948,0.988672971725464,0.0003317493246868254,0.9890566468238832
57.0,0.0003239431243855508,0.988681435585022,0.0003270010347478093,0.989220917224884
58.0,0.000319956452585757,0.9889010787010192,0.00032365752849727864,0.9893289804458618
59.0,0.0003183837980031966,0.988938808441162,0.00032739731250330784,0.9892014265060424
60.0,0.000316632387693971,0.9890049695968628,0.00031806182232685376,0.9895042181015016
61.0,0.0003145808295812455,0.9891033172607422,0.0003168343100696804,0.9895516633987428
62.0,0.0003140538174193352,0.989067018032074,0.00031774636590853317,0.9895073771476746
63.0,0.00031710645998828086,0.988999366760254,0.00031293285428546374,0.9896816611289978
64.0,0.00030872385832481075,0.9892707467079164,0.00031087201205082216,0.9897496700286864
65.0,0.0003066714562010018,0.9894169569015504,0.00030836014775559284,0.9898247718811036
66.0,0.0003065714845433829,0.989298701286316,0.00030762367532588525,0.989849328994751
67.0,0.0003060376038774848,0.9893433451652528,0.0003062470350414509,0.9898940920829772
