Training Set Size,ANN Q2,ANN Loss_SV,ANN Loss_Vin,ANN Loss
500,-4.20426600209743,1.5992687,0.07553207,0.837400376796722
1540,-0.096797574463733,0.8739271,0.22006199,0.546994566917419
7700,0.743217716990583,0.36494172,0.033617277,0.199279502034187
15400,0.848324808456443,0.36500132,0.019197455,0.192099392414093
77000,0.939447431359502,0.22162506,0.013248338,0.117436699569225
154000,0.950700759312575,0.19790417,0.013121797,0.105512984097003
770000,0.96664035456977,0.15700944,0.012584201,0.084796816110611
