r2,iteration
-1.542258,10
-6.3058395,20
-12.507277,30
-5.46581,40
-1.8813105,50
-1.7854235,60
-1.484967,70
-0.6483948,80
-0.19347084,90
-0.026381135,100
0.13770449,110
0.3029257,120
0.4122519,130
0.48484462,140
0.54733515,150
0.600366,160
0.64128935,170
0.6739738,180
0.70182174,190
0.7254793,200
0.74537057,210
0.7624238,220
0.7773245,230
0.7904039,240
0.8019419,250
0.8122225,260
0.8214588,270
0.82980144,280
0.837377,290
0.8442947,300
0.8506422,310
0.85648966,320
0.86189675,330
0.8669142,340
0.87158453,350
0.8759438,360
0.8800232,370
0.8838496,380
0.8874465,390
0.8908343,400
0.8940308,410
0.8970521,420
0.89991224,430
0.9026236,440
0.9051975,450
0.9076441,460
0.90997225,470
0.9121903,480
0.9143057,490
0.91632515,500
0.9182548,510
0.9201003,520
0.9218668,530
0.92355907,540
0.9251814,550
0.9267379,560
0.9282322,570
0.92966783,580
0.9310478,590
0.9323752,600
0.9336528,610
0.9348831,620
0.93606853,630
0.93721133,640
0.93831354,650
0.9393771,660
0.94040394,670
0.94139576,680
0.94235414,690
0.9432806,700
0.9441765,710
0.9450433,720
0.9458823,730
0.94669455,740
0.9474812,750
0.9482435,760
0.9489823,770
0.94969857,780
0.95039326,790
0.9510672,800
0.95172125,810
0.9523561,820
0.9529726,830
0.95357144,840
0.9541532,850
0.9547186,860
0.9552682,870
0.9558026,880
0.9563224,890
0.9568281,900
0.95732015,910
0.9577991,920
0.95826536,930
0.95871943,940
0.95916176,950
0.95959264,960
0.9600125,970
0.96042174,980
0.96082073,990
0.9612098,1000
0.9615892,1010
0.96195936,1020
0.96232057,1030
0.962673,1040
0.96301705,1050
0.963353,1060
0.963681,1070
0.96400136,1080
0.96431434,1090
0.9646201,1100
0.96491903,1110
0.96521115,1120
0.9654968,1130
0.965776,1140
0.9660492,1150
0.9663164,1160
0.9665779,1170
0.9668337,1180
0.9670841,1190
0.96732926,1200
0.9675693,1210
0.9678044,1220
0.9680346,1230
0.9682602,1240
0.96848124,1250
0.9686979,1260
0.9689102,1270
0.96911836,1280
0.9693225,1290
0.9695227,1300
0.9697191,1310
0.96991175,1320
0.9701008,1330
0.97028637,1340
0.9704685,1350
0.97064734,1360
0.9708229,1370
0.9709953,1380
0.9711647,1390
0.97133106,1400
0.97149456,1410
0.97165525,1420
0.97181314,1430
0.9719684,1440
0.972121,1450
0.9722711,1460
0.9724187,1470
0.9725639,1480
0.9727068,1490
0.97284734,1500
0.9729856,1510
0.9731218,1520
0.9732559,1530
0.9733878,1540
0.9735177,1550
0.9736457,1560
0.97377175,1570
0.9738959,1580
0.9740182,1590
0.9741388,1600
0.9742576,1610
0.97437465,1620
0.9744901,1630
0.9746039,1640
0.9747161,1650
0.9748268,1660
0.97493595,1670
0.97504365,1680
0.97514987,1690
0.97525465,1700
0.9753581,1710
0.9754602,1720
0.97556096,1730
0.97566044,1740
0.9757587,1750
0.97585565,1760
0.97595143,1770
0.976046,1780
0.9761395,1790
0.97623175,1800
0.97632295,1810
0.9764131,1820
0.9765022,1830
0.97659016,1840
0.9766772,1850
0.9767632,1860
0.97684824,1870
0.97693235,1880
0.9770155,1890
0.9770977,1900
0.97717905,1910
