,EX_rib__D_e_i,EX_malt_e_i,EX_melib_e_i,EX_tre_e_i,EX_fru_e_i,EX_gal_e_i,EX_ac_e_i,EX_lac__D_e_i,EX_succ_e_i,EX_pyr_e_i,GR_1,GR_2,GR_3,GR_4,GR_5,GR_6,GR_7,GR_8,GR_AVG,GR_STD
21,0,1,0,0,0,1,0,0,1,1,0.29234429280382684,,,,0.27133189810557984,0.24006644787699902,0.27852397255574246,,0.27056665283553705,0.022124139475198985
22,0,0,1,1,0,0,0,0,1,1,,0.2648986275334248,0.22442504602597627,,,0.23928150901538467,0.2334437217265509,,0.24051222607533418,0.0173682886916169
23,0,0,0,1,1,1,1,0,0,0,,,,0.3228693144057417,0.329038014040067,,,0.3566465461290589,0.3361846248582892,0.01798696417862154
24,1,0,1,1,1,0,0,0,0,0,0.29653360636416476,0.28671204519901833,0.35401248957067727,0.288220394957756,0.28485221025374324,,0.29036359532639167,0.31788740231688933,0.30265453485552,0.0252904555645922
25,1,0,0,0,1,0,1,1,0,0,0.1955763385026585,0.21592058947466986,0.2235046449865276,0.1564007861879161,0.20143796816484144,0.20168503920598396,0.1905988051230098,0.15378886463029842,0.19236412953448823,0.02532277404108451
26,0,1,0,0,0,0,1,1,0,1,0.21426176858650925,0.1465922518708221,,0.13768660735761845,0.14551697159740523,0.15361861273708866,0.20666395068800547,,0.16739002713957485,0.03382994009283713
27,0,0,1,1,1,1,0,0,0,0,0.3418242808682578,,,,0.3130632791007777,,0.3319067535302134,0.3153466054794649,0.32553522974467847,0.01372694575324768
28,1,0,1,0,0,1,0,1,0,0,0.26107988197020826,0.20956818865513885,0.2643273570293095,,0.27034722415777823,0.2423974696595115,0.24998298472850455,0.26548185071353325,0.25188356527342626,0.021013605017984605
29,1,0,0,1,1,1,0,0,0,0,,,,0.3474416023899519,0.3235105005732434,,0.32520188781646736,0.34572126376023415,0.33546881363497416,0.01286949132881519
30,0,0,1,0,0,1,1,0,1,0,0.2864654722782799,0.28572460103127734,,0.30353670721171994,,,,,0.29190892684042574,0.010076764352878855
