,EX_rib__D_e_i,EX_malt_e_i,EX_melib_e_i,EX_tre_e_i,EX_fru_e_i,EX_gal_e_i,EX_ac_e_i,EX_lac__D_e_i,EX_succ_e_i,EX_pyr_e_i,GR_1,GR_2,GR_3,GR_4,GR_5,GR_6,GR_7,GR_8,GR_AVG,GR_STD
1,1,0,0,1,0,0,0,1,0,1,0.21527116919727224,0.21880302833163148,0.22192038231615718,0.24058916812944953,0.2165267739309433,0.24390636258753273,0.21604860420145383,0.22437046914419193,0.22467949472982904,0.011304278127057749
2,1,0,0,0,1,1,0,0,1,0,0.3528836507120573,,,,,0.34935602487444734,0.3536832562952995,,0.35197431062726797,0.002302478552507269
3,0,0,1,0,0,0,1,1,1,0,0.24138618890770383,0.2004065164906009,0.2059497489799502,0.2670626576163764,0.20003023172358692,0.2384565176146854,,,0.2255486435554839,0.027598141181288696
4,0,1,0,0,1,0,0,1,0,1,,,0.10680185643769982,0.1609620363410912,,0.13428308843814094,0.13388995613917914,,0.13398423433902779,0.022111698799388704
5,1,0,1,1,0,0,0,0,0,1,,,0.24668401063890139,0.235547846668868,0.23127226958299119,,0.24527881162388007,,0.23969573462866017,0.0074870218429952205
6,1,1,0,1,0,0,0,0,1,0,0.38626073056140847,0.3535502608361433,0.358003604514709,0.36595722639957035,0.3951387036892398,0.36581461541156624,0.33295747052497837,,0.3653832302768022,0.020686878765981832
7,0,0,0,0,1,1,1,0,0,1,0.2132214696515097,,0.19240795570870162,,0.17067806036197103,0.1791029138966274,,0.1759694724934821,0.18627597442245838,0.01706335701137997
8,0,1,0,0,1,0,1,0,0,1,,,,0.14987572911143887,0.17685105299157966,0.15683161793529532,,,0.16118613334610463,0.014004941197907801
9,1,1,0,0,0,1,1,0,0,0,0.32835943449195437,,,,,0.3568284219466539,0.3318582398380315,0.3596383598006122,0.344171114019313,0.016340738621684205
10,1,0,1,1,0,0,0,0,1,0,,0.2902714947287969,0.2996662503753056,0.30155499174351824,0.29847935827669486,0.3078746487260031,0.28762553792782164,0.2890780692402768,0.2963643358597739,0.007543044850137388
