,EX_rib__D_e_i,EX_malt_e_i,EX_melib_e_i,EX_tre_e_i,EX_fru_e_i,EX_gal_e_i,EX_ac_e_i,EX_lac__D_e_i,EX_succ_e_i,EX_pyr_e_i,GR_1,GR_2,GR_3,GR_4,GR_5,GR_6,GR_7,GR_8,GR_AVG,GR_STD
1,0,0,0,0,0,1,0,0,0,0,0.1690770971250194,0.1584858647577462,0.16149732004915257,0.189293581670698,,,,,0.16958846590065405,0.013871883780562484
2,0,0,0,0,1,0,0,0,0,0,0.11254184412835866,0.13750961622656724,0.16188724798024462,0.12411551706063277,,,,,0.13401355634895082,0.02119882643969827
3,0,1,0,0,0,0,0,0,0,0,,,0.18459240364749954,0.1821403404863144,,,0.19897773459192325,,0.18857015957524573,0.009096228159651555
4,0,0,1,0,0,0,0,0,0,0,0.23497771705989876,,0.16297594898055434,,,,,,0.19897683302022656,0.05091293846632553
5,0,0,0,0,0,0,0,0,0,1,0.06754159193967159,0.07002718815428004,0.07735580712718507,0.07673421479637585,0.0641982081156854,0.061576161369773515,0.08236067244765866,0.07610835123157976,0.07198777439777623,0.007256643309162618
6,0,0,0,0,0,0,1,0,0,0,0.12515085406073473,0.0925633942398757,0.09766310563732325,0.08364797575657217,0.07780041398201645,0.08014707048265725,,0.0899555803651849,0.0924183420749092,0.01605302865855795
7,0,0,0,0,0,0,0,1,0,0,0.11577639558891328,0.08805170890958434,0.09981635232382553,,0.08340498706832943,0.06836581253194923,0.07335135440576529,,0.08812776847139452,0.01750575527298658
8,1,0,0,0,0,0,0,0,0,0,,0.09450315817426815,0.09079630317224473,0.08937988825686731,0.08047676838573047,0.10407855462509086,0.08066192902580356,,0.08998276694000085,0.008915071499637616
9,0,0,0,1,0,0,0,0,0,0,0.2875444277010042,0.16853043983176846,0.16027961503698562,,,,,0.1790558620332477,0.19885258615075146,0.05962510573377884
10,0,0,0,0,0,0,0,0,1,0,0.09355529601287364,,,0.11584235354471324,0.09767534329822997,0.11447762894894531,,,0.10538765545119054,0.01142238765230839
