,EX_rib__D_e_i,EX_malt_e_i,EX_melib_e_i,EX_tre_e_i,EX_fru_e_i,EX_gal_e_i,EX_ac_e_i,EX_lac__D_e_i,EX_succ_e_i,EX_pyr_e_i,GR_1,GR_2,GR_3,GR_4,GR_5,GR_6,GR_7,GR_8,GR_AVG,GR_STD
11,0,0,0,0,0,0,1,1,0,0,0.08008793619068061,0.0696279915725977,0.06778836400709526,0.0710374283359512,0.06540124748393719,0.07429478633378055,,0.06432721530816997,0.07036642417603035,0.005457514268631137
12,0,0,0,1,0,0,1,0,0,0,,0.20557588470561208,0.19256580377241025,0.217239747833647,,0.22276187055324387,,,0.20953582671622828,0.013390810973738934
13,1,0,0,0,0,0,1,0,0,0,,0.0981216243402327,0.12552723813078884,0.11244909244649196,0.0940368436949825,,0.13758599791408763,,0.11354415930531672,0.01831115302434141
14,0,0,0,1,0,0,0,0,1,0,,0.260826454280594,0.18911966803887625,0.2080111930605839,,,,,0.21931910512668473,0.03716675200700016
15,0,1,0,0,0,1,0,0,0,0,0.36783177858181154,,0.3237844678696952,0.2947953453098568,0.353407823871146,0.3393331399626942,0.31023527932967326,,0.3315646391541462,0.027277218887577368
16,0,0,0,0,0,0,0,1,1,0,,0.1498416344895747,0.16240512368345297,0.1220303481186245,0.1468892720168949,0.12460673808021104,0.12924252207689366,0.12241212923931605,0.13677539538642397,0.01611645283373692
17,1,0,0,0,0,0,0,0,0,1,,,0.14410040329267165,0.14232040251754857,0.12728544749601295,0.12514825227716964,0.14227284281776778,,0.13622546968023413,0.009197312781532406
18,0,0,0,0,1,0,0,1,0,0,,,0.11243358628907255,0.10247511893197087,0.10759541422547755,,0.12089115774623968,0.09351782448881019,0.10738262033631416,0.010299930281040036
19,0,0,1,0,0,0,0,0,1,0,,0.22084967758066312,0.22384330702019012,0.2502353982580283,0.22526605107242426,,0.22761714814213052,0.2182804580877007,0.22768200669352287,0.011526508332819832
20,0,0,0,0,0,1,0,0,0,1,,0.18967486728281585,0.20483658869217514,0.20926673578315488,0.18988662682169757,0.2047615704357987,0.2139732043755385,,0.2020665988985301,0.01010397617192715
