,EX_rib__D_e_i,EX_malt_e_i,EX_melib_e_i,EX_tre_e_i,EX_fru_e_i,EX_gal_e_i,EX_ac_e_i,EX_lac__D_e_i,EX_succ_e_i,EX_pyr_e_i,GR_1,GR_2,GR_3,GR_4,GR_5,GR_6,GR_7,GR_8,GR_AVG,GR_STD
11,0,0,0,0,0,1,0,0,1,1,,0.26585818775908165,0.2713589578893739,0.2118530033015144,0.20977264993768913,0.20244027107599488,0.20398598869784731,,0.22754484311025022,0.032046631264618534
12,0,0,1,0,0,1,0,1,0,0,0.22868124409529778,0.23991816764354362,0.20391786852223692,0.2066382148483094,0.19995515108428674,,0.2119364089736397,0.20070895148525125,0.21310800095036653,0.015360849159567766
13,0,1,0,0,0,0,1,0,0,1,0.25968351397305317,0.2538684754945697,,0.26617970574252187,0.25396825343660606,0.28892234310766995,0.26676294373606174,0.24771773448928538,0.26244328142568113,0.013562033413480558
14,1,0,1,0,0,0,0,0,0,1,0.20618809062071364,0.20607942751061828,0.1495356572926098,0.18918887793216,0.1598697927970531,0.19645777440371184,0.18355105378558503,0.1988009203500876,0.18620894933656743,0.021085621500135293
15,0,1,0,0,1,0,0,1,0,0,0.15935455818473193,0.18358688015433705,0.16205519292212495,0.14977977608669416,0.1604445122436328,0.1665792729444881,0.17884544652387316,0.18950499544481425,0.16876882931308704,0.013729402232623991
16,0,1,0,1,1,0,0,0,0,0,0.3565710530221525,0.369921920985463,0.3522946585452551,0.2990438307576477,0.3100383180517261,0.48469221489134623,,,0.3620936660422651,0.06618647375663114
17,1,0,1,0,0,0,0,0,1,0,,,,,,0.2874331377492322,0.22679661785362595,0.250521876453004,0.25491721068528733,0.030556277726887387
18,0,0,0,1,0,1,0,0,0,1,0.248395588427553,0.23825350338187296,,0.2646824392500162,0.27019052151534906,0.22597614136463598,0.2100207718029043,,0.2429198276237219,0.022971708366537315
19,1,0,0,0,0,1,0,1,0,0,0.2061990165773599,0.1584651702524702,0.17144850723106086,0.2010522574712585,0.22779496542885164,,,0.19670796867985055,0.19361131427347525,0.024973468382799253
20,1,1,0,0,1,0,0,0,0,0,0.33991685480031947,0.33895144698137775,0.3160899343216902,0.3056546247325204,0.3448545776630894,0.3561420278708415,0.3464647796005548,0.34075923977548855,0.33610418571823525,0.0167224625519457
