,EX_rib__D_e_i,EX_malt_e_i,EX_melib_e_i,EX_tre_e_i,EX_fru_e_i,EX_gal_e_i,EX_ac_e_i,EX_lac__D_e_i,EX_succ_e_i,EX_pyr_e_i,GR_1,GR_2,GR_3,GR_4,GR_5,GR_6,GR_7,GR_8,GR_AVG,GR_STD
11,1,0,0,1,1,0,0,0,1,0,,,0.3952167813396013,0.4134401123413777,0.42657306272603945,,0.39652020113949127,0.4355335290880736,0.4134567373269166,0.017881311859581743
12,1,0,0,0,0,1,1,0,1,0,0.2691052479830654,0.19969084112303917,0.29915766586532344,,0.2563792472792009,,,,0.25608325056265724,0.04165400791818802
13,0,0,0,1,1,1,0,0,1,0,0.4030923018880604,0.3442091683080746,,0.40945593871751806,0.3749161458586558,0.4428107330227565,,,0.39489685755901305,0.03722681256681151
14,0,0,0,1,0,1,1,0,1,0,0.4380323213297111,,0.36698128605503116,0.4056584639885634,0.4533395929995323,0.43868071576996037,,,0.42053847602855965,0.034644177421933264
15,0,1,1,0,0,1,0,1,0,0,0.3033947639720896,0.3070090545727117,0.28210230498981675,,0.3078681230338582,0.3241607719036382,0.30539327638755914,,0.3049880491432789,0.013464268556594952
16,0,0,0,0,1,0,1,0,1,1,0.23768212834615765,0.23484415698635344,0.2259497925578467,0.23141438900801384,0.2276351324348134,,,,0.231505119866637,0.004877276364988065
17,0,0,0,1,0,1,1,0,0,1,0.2691836894056277,0.28698005401634485,0.295637538923426,0.2846800402574578,0.23134888025441422,0.2563672103629768,0.27151427661895344,,0.2708159556913144,0.02175304630052829
18,0,1,1,1,0,0,0,1,0,0,,0.3675600050768595,0.34416572303383547,0.33527710583535936,0.3187260244435337,0.32292600734508353,0.3219377883739824,,0.33509877568477564,0.01857647764659909
19,0,1,0,1,0,0,0,1,0,1,0.2818827512641542,0.29754534458288345,0.30203943047185233,0.2764919104678435,0.2597370180323858,0.2708494714433108,0.26725237393639617,0.2721185573881552,0.2784896071983726,0.014687781531455162
20,0,0,1,0,0,0,1,1,0,1,0.08943006161691358,,,,,,,0.0636287289404427,0.07652939527867814,0.01824429729918261
