,EX_rib__D_e_i,EX_malt_e_i,EX_melib_e_i,EX_tre_e_i,EX_fru_e_i,EX_gal_e_i,EX_ac_e_i,EX_lac__D_e_i,EX_succ_e_i,EX_pyr_e_i,GR_1,GR_2,GR_3,GR_4,GR_5,GR_6,GR_7,GR_8,GR_AVG,GR_STD
31,0,0,1,1,0,1,0,0,0,0,0.33705063139441943,,,,0.28883067788260486,0.28309544342707166,0.31041075913548705,,0.30484687795989573,0.02447912088671514
32,0,0,1,0,0,0,1,0,1,0,,0.21162766625051996,0.2624072267108567,,,,,,0.23701744648068834,0.03590657154717639
33,0,0,1,1,1,0,0,0,0,0,0.26331601269784866,0.29210888700390136,,,0.31619535426004874,0.2665026538605765,0.333631894322304,0.3145614395622512,0.2977193736178217,0.028650579695202055
34,0,0,0,0,1,1,0,0,0,1,0.22551422178199618,0.23997920423215488,0.23213470489200105,0.20581313265563597,0.25059004398835893,0.2628552389670424,0.3167964298666515,0.23500457494698745,0.24608594391635352,0.03316902633012135
35,0,1,0,1,0,0,0,0,0,1,,0.234182770492376,,,0.2178411994181375,,0.24090848701993728,,0.2309774856434836,0.011862981393728171
36,1,0,0,0,0,0,1,0,1,0,0.2136773765714929,,,,,,0.17617238666483037,0.2213925771551208,0.20374744679714804,0.024190267381471918
37,0,0,1,0,0,1,0,0,1,0,,,,,,0.3306164664925201,0.34975694512607197,,0.340186705809296,0.013534362236940769
38,0,0,1,1,0,0,0,1,0,0,0.21799325839517592,0.18678494941472948,0.185583390955006,0.17722936480514279,0.2096570434683585,0.23743823374257275,0.23006453307902958,0.18794447499782727,0.20408690610723026,0.022788482703823137
39,0,0,1,0,1,0,0,0,0,1,,0.16662709387401461,0.22952760800682756,0.130900739593221,,,,0.13884003016380236,0.1664738679094664,0.04473952043111895
40,1,0,0,0,0,0,1,0,0,1,0.1502875647613272,0.1377283562244863,0.10324376154292916,0.10103592117872294,0.1107572136611641,0.15451349544577647,0.13621248642327058,0.16211963291622775,0.13198730401923806,0.024011883978504376
